timestamp,person_id,body_height,shoulder_body_ratio,role
1766266567.1566918,22,132.6,2.188,CHILD
1766266567.3438506,22,142.5,2.074,CHILD
1766266567.524955,22,148.84,1.99,CHILD
1766266567.7210047,22,160.58,1.787,CHILD
1766266567.9680753,22,163.49,0.804,CHILD
1766266568.1711793,22,259.93,0.671,CHILD
1766266568.3562396,22,285.98,0.678,CHILD
1766266568.5403366,22,298.42,0.63,CHILD
1766266568.7303927,22,291.35,0.689,CHILD
1766266568.9254992,22,276.25,0.689,CHILD
1766266569.1169586,22,266.71,0.672,CHILD
1766266569.2964096,22,269.3,0.651,CHILD
1766266569.479955,22,269.61,0.633,CHILD
1766266569.6710038,22,280.94,0.604,CHILD
1766266569.8581016,22,272.27,0.623,CHILD
1766266570.042188,22,273.29,0.654,CHILD
1766266570.209251,22,274.42,0.677,CHILD
1766266570.3858018,22,273.38,0.658,CHILD
1766266570.5918598,22,260.73,0.523,CHILD
1766266570.7769206,22,253.21,0.539,CHILD
1766266570.9740288,22,282.0,0.519,CHILD
1766266571.2136886,22,280.4,0.55,CHILD
1766266571.421088,22,302.64,0.544,CHILD
1766266571.6151557,22,329.24,0.482,CHILD
1766266571.7916913,22,344.38,0.464,CHILD
1766266571.9962702,22,347.2,0.429,CHILD
1766266572.1888177,22,348.9,0.463,CHILD
1766266572.3698566,22,352.04,0.493,CHILD
1766266572.5549586,22,347.35,0.471,CHILD
1766266572.7540095,22,323.01,0.483,CHILD
1766266572.9301531,22,361.96,0.493,CHILD
1766266573.122231,22,350.1,0.597,CHILD
1766266573.3132775,22,334.31,0.677,CHILD
1766266573.5071852,22,321.56,0.698,CHILD
1766266573.7042916,22,318.98,0.671,CHILD
1766266573.889376,22,306.08,0.734,CHILD
1766266574.0674179,22,306.2,0.728,CHILD
1766266574.456577,22,159.6,1.48,CHILD
1766266574.640646,22,170.34,1.562,CHILD
1766266574.8267395,22,168.94,1.591,CHILD
1766266575.0237968,22,169.48,1.606,CHILD
1766266575.2188473,22,165.31,1.806,CHILD
1766266575.4019172,22,157.35,1.936,CHILD
1766266575.5864522,22,144.73,2.082,CHILD
1766266575.7834923,22,135.97,2.213,CHILD
1766266575.9725575,22,132.12,2.198,CHILD
1766266576.1586967,22,129.46,2.32,CHILD
1766266576.34179,22,130.62,2.249,CHILD
1766266576.5238907,22,125.55,2.389,CHILD
1766266576.7129457,22,125.6,2.357,CHILD
1766266576.8944862,22,126.84,2.378,CHILD
1766266577.0705657,22,126.71,2.31,CHILD
1766266577.370154,22,125.81,2.24,CHILD
1766266577.5702624,22,127.78,2.361,CHILD
1766266577.7613366,22,123.64,2.377,CHILD
1766266577.9534318,22,124.8,2.265,CHILD
1766266578.1538558,22,124.39,2.418,CHILD
1766266578.3805208,22,129.04,2.293,CHILD
1766266578.58078,22,128.13,2.265,CHILD
